货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间
日元,5.207,5.0452,5.2453,5.2534,5.2358,2022.12.31 00:00:05
日元,5.2482,5.0852,5.2868,5.295,5.2358,2022.12.31 05:29:59
日元,5.2482,5.0852,5.2868,5.295,5.2358,2022.12.31 05:30:00
日元,5.2482,5.0852,5.2868,5.295,5.2358,2022.12.31 05:30:00
日元,5.2482,5.0852,5.2868,5.295,5.2358,2022.12.31 05:30:00
日元,5.2482,5.0852,5.2868,5.295,5.2358,2022.12.31 10:30:00
日元,5.2482,5.0852,5.2868,5.295,5.2358,2022.12.31 10:30:00
日元,5.2482,5.0852,5.2868,5.295,5.2358,2022.12.31 10:30:00
日元,5.2454,5.0825,5.284,5.2922,5.2358,2022.12.31 17:59:23
日元,5.2454,5.0825,5.284,5.2922,5.2358,2022.12.31 20:15:24
日元,5.2454,5.0825,5.284,5.2922,5.2358,2022.12.31 20:17:12
日元,5.2454,5.0825,5.284,5.2922,5.2358,2022.12.31 20:17:12
日元,5.2454,5.0825,5.284,5.2922,5.2358,2022.12.31 20:17:12
